Date,Store,Department,Weekly_Sales,IsHoliday
2021-01-03,Store 3,Clothing,22400,False
2021-01-10,Store 4,Clothing,30151,True
2021-01-17,Store 1,Electronics,16154,True
2021-01-24,Store 3,Clothing,19499,False
2021-01-31,Store 3,Pharmacy,21295,False
2021-02-07,Store 4,Grocery,27183,True
2021-02-14,Store 1,Grocery,44299,True
2021-02-21,Store 1,Electronics,27874,False
2021-02-28,Store 3,Toys,47711,False
2021-03-07,Store 2,Electronics,20539,False
2021-03-14,Store 3,Toys,17557,False
2021-03-21,Store 3,Grocery,31482,False
2021-03-28,Store 3,Electronics,17200,True
2021-04-04,Store 3,Pharmacy,17961,False
2021-04-11,Store 4,Clothing,36357,False
2021-04-18,Store 1,Toys,26969,False
2021-04-25,Store 4,Clothing,17869,True
2021-05-02,Store 4,Clothing,43643,False
2021-05-09,Store 4,Electronics,39736,False
2021-05-16,Store 3,Clothing,38328,False
2021-05-23,Store 2,Pharmacy,40876,False
2021-05-30,Store 1,Clothing,36295,False
2021-06-06,Store 2,Electronics,18987,False
2021-06-13,Store 4,Pharmacy,37399,False
2021-06-20,Store 4,Grocery,48986,False
2021-06-27,Store 2,Clothing,35880,False
2021-07-04,Store 2,Electronics,19735,False
2021-07-11,Store 2,Grocery,19555,False
2021-07-18,Store 4,Grocery,34830,False
2021-07-25,Store 4,Toys,32429,True
2021-08-01,Store 1,Pharmacy,21893,False
2021-08-08,Store 1,Clothing,29373,False
2021-08-15,Store 4,Electronics,18436,False
2021-08-22,Store 2,Toys,23754,False
2021-08-29,Store 2,Pharmacy,25677,False
2021-09-05,Store 1,Toys,20895,False
2021-09-12,Store 4,Pharmacy,34738,False
2021-09-19,Store 1,Pharmacy,45746,False
2021-09-26,Store 1,Clothing,47352,False
2021-10-03,Store 3,Pharmacy,20600,True
2021-10-10,Store 3,Toys,44124,False
2021-10-17,Store 3,Pharmacy,42643,False
2021-10-24,Store 2,Clothing,24007,False
2021-10-31,Store 4,Clothing,23208,False
2021-11-07,Store 4,Toys,33589,False
2021-11-14,Store 4,Grocery,32453,False
2021-11-21,Store 4,Grocery,47635,False
2021-11-28,Store 3,Pharmacy,48828,False
2021-12-05,Store 2,Electronics,33711,False
2021-12-12,Store 2,Pharmacy,18420,False
2021-12-19,Store 3,Toys,46216,False
2021-12-26,Store 2,Toys,15301,True
2022-01-02,Store 3,Toys,15699,False
2022-01-09,Store 4,Toys,15190,False
2022-01-16,Store 3,Toys,25492,False
2022-01-23,Store 4,Clothing,21102,False
2022-01-30,Store 4,Grocery,34778,False
2022-02-06,Store 1,Toys,41641,False
2022-02-13,Store 3,Electronics,49584,False
2022-02-20,Store 1,Electronics,47745,True
2022-02-27,Store 3,Electronics,38093,False
2022-03-06,Store 3,Electronics,15569,False
2022-03-13,Store 1,Clothing,49663,False
2022-03-20,Store 1,Electronics,22455,False
2022-03-27,Store 3,Toys,19014,False
2022-04-03,Store 2,Pharmacy,26093,False
2022-04-10,Store 4,Electronics,33070,False
2022-04-17,Store 1,Clothing,31538,False
2022-04-24,Store 4,Clothing,25729,False
2022-05-01,Store 2,Electronics,49177,False
2022-05-08,Store 2,Pharmacy,15784,False
2022-05-15,Store 2,Electronics,42751,False
2022-05-22,Store 1,Clothing,27533,False
2022-05-29,Store 2,Grocery,20801,True
2022-06-05,Store 1,Toys,34190,True
2022-06-12,Store 2,Clothing,44592,False
2022-06-19,Store 4,Electronics,25647,False
2022-06-26,Store 4,Toys,23716,False
2022-07-03,Store 3,Electronics,38355,False
2022-07-10,Store 4,Electronics,37009,False
2022-07-17,Store 3,Grocery,39376,False
2022-07-24,Store 4,Toys,19780,False
2022-07-31,Store 1,Toys,17368,True
2022-08-07,Store 4,Grocery,27039,True
2022-08-14,Store 3,Clothing,21655,False
2022-08-21,Store 3,Electronics,19495,False
2022-08-28,Store 2,Pharmacy,25893,False
2022-09-04,Store 1,Electronics,40547,False
2022-09-11,Store 4,Electronics,37386,False
2022-09-18,Store 2,Clothing,28403,True
2022-09-25,Store 4,Electronics,47097,False
2022-10-02,Store 4,Grocery,28121,False
2022-10-09,Store 2,Grocery,25966,False
2022-10-16,Store 2,Toys,48621,True
2022-10-23,Store 2,Pharmacy,43312,False
2022-10-30,Store 2,Electronics,37677,False
2022-11-06,Store 2,Electronics,46289,False
2022-11-13,Store 4,Clothing,46024,False
2022-11-20,Store 2,Grocery,19777,False
2022-11-27,Store 1,Pharmacy,44749,False
2022-12-04,Store 3,Toys,30338,False
2022-12-11,Store 2,Grocery,17491,False
2022-12-18,Store 2,Toys,42236,False
2022-12-25,Store 4,Clothing,29599,False
2023-01-01,Store 2,Clothing,34508,False
2023-01-08,Store 2,Electronics,18051,False
2023-01-15,Store 2,Pharmacy,36606,True
2023-01-22,Store 4,Toys,36699,False
2023-01-29,Store 2,Grocery,15876,False
2023-02-05,Store 3,Clothing,47093,False
2023-02-12,Store 4,Electronics,19142,False
2023-02-19,Store 3,Electronics,30202,False
2023-02-26,Store 4,Toys,22079,False
2023-03-05,Store 2,Clothing,22987,False
2023-03-12,Store 3,Pharmacy,43940,False
2023-03-19,Store 4,Clothing,32019,False
2023-03-26,Store 1,Toys,33077,False
2023-04-02,Store 2,Toys,41258,False
2023-04-09,Store 4,Clothing,36136,False
2023-04-16,Store 1,Toys,23311,False
2023-04-23,Store 4,Clothing,32214,False
2023-04-30,Store 1,Grocery,29098,False
2023-05-07,Store 2,Clothing,43251,False
2023-05-14,Store 3,Clothing,40945,False
2023-05-21,Store 1,Toys,40316,False
2023-05-28,Store 4,Toys,47217,False
2023-06-04,Store 2,Electronics,23308,False
2023-06-11,Store 1,Electronics,20949,False
2023-06-18,Store 4,Grocery,16150,False
2023-06-25,Store 4,Electronics,38944,False
2023-07-02,Store 4,Clothing,49699,False
2023-07-09,Store 1,Toys,24204,False
2023-07-16,Store 1,Electronics,16081,False
2023-07-23,Store 1,Electronics,44305,False
2023-07-30,Store 3,Grocery,31896,True
2023-08-06,Store 1,Grocery,22805,False
2023-08-13,Store 1,Clothing,20237,False
2023-08-20,Store 1,Toys,35056,False
2023-08-27,Store 3,Grocery,18343,False
2023-09-03,Store 1,Electronics,28500,False
2023-09-10,Store 4,Toys,44375,False
2023-09-17,Store 1,Toys,24662,True
2023-09-24,Store 4,Electronics,31964,False
2023-10-01,Store 4,Grocery,23130,False
2023-10-08,Store 4,Electronics,34531,False
2023-10-15,Store 3,Toys,16679,False
2023-10-22,Store 3,Pharmacy,18506,True
2023-10-29,Store 3,Pharmacy,28284,True
2023-11-05,Store 1,Clothing,22253,False
2023-11-12,Store 4,Electronics,34128,False
